id,dancebility,energy,key,loudnes,mode,speech,acoustic,instrument,livenss,valance,tempo,duration,time_signature
37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980,4
0wshkEEcJUQU33RSRBb5dv,0.849,0.433,5,-8.434,0,0.316,0.0407,0.0,0.388,0.395,142.11,152962,4
3Kwdm0iLyEiRB8InsZoo6n,0.773,0.281,1,-9.781,1,0.11,0.24,0.0,0.112,0.465,102.019,227706,4
61S79KIVA4I9FXbnsylEHT,0.686,0.385,7,-8.35,0,0.297,0.614,0.0,0.131,0.147,143.07,296568,4
0sSRLXxknVTQDStgU1NqpY,0.501,0.403,6,-11.106,0,0.119,0.234,0.0,0.267,0.111,118.352,399154,4
6tiKwZppNjrls8RsPQwK6r,0.613,0.615,5,-4.859,0,0.107,0.308,0.0,0.107,0.342,86.782,226220,4
2Q3jFbyE61mCjS3SkW4toJ,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072,269884,4
2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
7GeTsDIc5ykNB6lORO6Cee,0.734,0.605,1,-8.476,1,0.0699,0.0102,0.0,0.317,0.252,103.976,236795,4
2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737,204347,4
22ruOqBqBRiZDiXFud4OXa,0.833,0.498,10,-5.196,0,0.117,0.0493,0.0,0.119,0.259,139.928,153406,4
6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
1eCFz60zd7mAXgWLapPd9B,0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013,157390,4
35RJhm1pEovTBwnNR0zWad,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4
2KLwPaRDOB87XOYAT2fgxh,0.749,0.63,4,-6.652,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027,4
6jy9yJfgCsMHdu2Oz4BGKX,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177,178623,4
27g5G3TW90FSm3YxclYpAs,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253,259651,4
